_id__$oid,last_modified__$date,delivery_lat,assigned_delivery_boy_id,trash,created_at__$date,delivery_lon,outlet_id,order_status,status,order_id,order_status_id,preparation_time,committed_time,eta,time_of_delivery,arrival_time_duration,delivery_boy_assigning_time__$date,actual_preparaed_time,pickup_time,approve_time,reaching_time__$date,arrival_time__$date,outlet_distance_from_delivery_person,assigning_lat_lon__001,assigning_lat_lon__002,destination_km_distance,destination_journey_duration,total_distance_travel_for_delivery
5f3519197c44c681fe3c1c0d,2020-08-13T16:13:47.280Z,22.514497,23,0,2020-08-13T16:12:33.681Z,88.353237,56,delivered,delivery boy assigned,93,6,20 minutes,4:18 PM,4:18 PM,4:13 PM,5 mins,2020-08-13T16:12:39.576Z,4:12 PM,4:13 PM,,,,,,,,,
5f3512b93fa70e487dcaf08a,2020-08-13T16:10:36.450Z,22.514497,23,0,2020-08-13T15:45:21.097Z,88.353237,56,delivered,delivery boy assigned,91,6,20 minutes,4:06 PM,4:06 PM,4:10 PM,13 mins,2020-08-13T15:45:27.208Z,3:45 PM,4:09 PM,,,,,,,,,
5f3520df9bb00aa663a5d78a,2020-08-13T18:48:51.940Z,22.4882759,25,0,2020-08-13T16:45:43.266Z,88.3211678,36,delivered,delivery boy assigned,85,6,20 minutes,4:54 PM,4:54 PM,6:48 PM,7 mins,2020-08-13T16:45:50.174Z,5:25 PM,6:40 PM,,,,,,,,,
5f3520e3810925fe887f2bc2,2020-08-13T17:38:16.625Z,22.488069,21,0,2020-08-13T16:45:47.584Z,88.3269746,36,delivered,delivery boy assigned,95,6,20 minutes,5:09 PM,5:09 PM,5:38 PM,15 mins,2020-08-13T16:45:53.197Z,5:25 PM,5:32 PM,,,,,,,,,
5f352ded6bb826345f0c7610,2020-08-13T18:23:16.108Z,22.5095986,21,0,2020-08-13T17:41:25.266Z,88.311451,7,delivered,delivery boy assigned,96,6,20 minutes,6:06 PM,6:06 PM,6:23 PM,19 mins,2020-08-13T17:41:31.175Z,5:50 PM,6:04 PM,,,,,,,,,
5f3780bd861b83811a37575b,2020-08-15T12:27:50.716Z,22.5049749,23,0,2020-08-15T11:59:17.261Z,88.3839325,108,delivered,delivery boy assigned,122,6,20 minutes,12:10 PM,12:10 PM,12:27 PM,5 mins,2020-08-15T11:59:24.010Z,12:13 PM,12:14 PM,,,,,,,,,
5f364b54b1086e35b1da485b,2020-08-14T14:04:41.837Z,22.5133978,21,0,2020-08-14T13:59:08.492Z,88.367368,66,picked,delivery boy assigned,98,5,20 minutes,2:20 PM,2:20 PM,,18 mins,2020-08-14T13:59:14.547Z,1:59 PM,2:04 PM,,,,,,,,,
5f378a9ccbf35e8b06b8491b,2020-08-15T13:46:54.401Z,22.5051403,23,0,2020-08-15T12:41:24.467Z,88.3839999,66,delivered,delivery boy assigned,124,6,20 minutes,12:59 PM,12:59 PM,1:46 PM,9 mins,2020-08-15T12:41:31.185Z,12:55 PM,1:00 PM,,,,,,,,,
5f36c12c556b496db783a98b,2020-08-14T23:05:42.311Z,22.4858089,21,0,2020-08-14T22:21:56.389Z,88.320111,36,delivered,delivery boy assigned,117,6,20 minutes,10:44 PM,10:44 PM,11:05 PM,17 mins,2020-08-14T22:30:47.486Z,10:44 PM,10:56 PM,,,,,,,,,
5f378aa578799c4264fcd3d1,2020-08-15T13:16:05.325Z,22.5080712,27,0,2020-08-15T12:41:33.575Z,88.3532837,66,null,delivery boy assigned,123,null,20 minutes,1:06 PM,1:06 PM,,11 mins,2020-08-15T12:41:39.747Z,12:57 PM,,,,,,,,,,
5f3790af1425824ee5f00562,2020-08-15T13:42:53.983Z,22.489049,31,0,2020-08-15T13:07:19.983Z,88.389023,92,delivered,delivery boy assigned,126,6,20 minutes,1:33 PM,1:33 PM,1:42 PM,22 mins,2020-08-15T13:07:26.015Z,1:07 PM,1:24 PM,,,,,,,,,
